group_a,energy_a_MeV,group_b,energy_b_MeV,sigma_a_to_b,sigma_b_to_a,absolute_difference,asymmetry,geometric_strength
1,16.0,2,14.25,0.3956412,0.0,0.3956412,1.0,0.0
1,16.0,3,12.75,0.1671614,0.0,0.1671614,1.0,0.0
1,16.0,4,11.0,0.16173442999999998,0.0,0.16173442999999998,1.0,0.0
1,16.0,5,8.895,0.2592624,0.0,0.2592624,1.0,0.0
1,16.0,6,6.93,0.1967873,0.0,0.1967873,1.0,0.0
1,16.0,7,4.875,0.319133,0.0,0.319133,1.0,0.0
1,16.0,8,3.2725,0.1451751,0.0,0.1451751,1.0,0.0
1,16.0,9,2.5485,0.1100914,0.0,0.1100914,1.0,0.0
1,16.0,10,1.985,0.07684969999999999,0.0,0.07684969999999999,1.0,0.0
1,16.0,11,1.5455,0.059101299999999996,0.0,0.059101299999999996,1.0,0.0
1,16.0,12,1.088,0.083355,0.0,0.083355,1.0,0.0
1,16.0,13,0.6615,0.0470767,0.0,0.0470767,1.0,0.0
1,16.0,14,0.4015,0.02517656,0.0,0.02517656,1.0,0.0
1,16.0,15,0.2435,0.01356941,0.0,0.01356941,1.0,0.0
1,16.0,16,0.1258,0.01173765,0.0,0.01173765,1.0,0.0
1,16.0,17,0.0462,0.003920049,0.0,0.003920049,1.0,0.0
1,16.0,18,0.01696,0.0013782134,0.0,0.0013782134,1.0,0.0
1,16.0,19,0.006235,0.0004960143,0.0,0.0004960143,1.0,0.0
1,16.0,20,0.0022925,0.000178158,0.0,0.000178158,1.0,0.0
1,16.0,21,0.0008445,6.57898e-05,0.0,6.57898e-05,1.0,0.0
1,16.0,22,0.0003105,2.41766e-05,0.0,2.41766e-05,1.0,0.0
1,16.0,23,0.0001142,1.383992e-05,0.0,1.383992e-05,1.0,0.0
2,14.25,3,12.75,0.4149602,0.0,0.4149602,1.0,0.0
2,14.25,4,11.0,0.2527752,0.0,0.2527752,1.0,0.0
2,14.25,5,8.895,0.22846919999999998,0.0,0.22846919999999998,1.0,0.0
2,14.25,6,6.93,0.29376420000000003,0.0,0.29376420000000003,1.0,0.0
2,14.25,7,4.875,0.354688,0.0,0.354688,1.0,0.0
2,14.25,8,3.2725,0.1536026,0.0,0.1536026,1.0,0.0
2,14.25,9,2.5485,0.1239365,0.0,0.1239365,1.0,0.0
2,14.25,10,1.985,0.0945504,0.0,0.0945504,1.0,0.0
2,14.25,11,1.5455,0.06612509999999999,0.0,0.06612509999999999,1.0,0.0
2,14.25,12,1.088,0.06764250000000001,0.0,0.06764250000000001,1.0,0.0
2,14.25,13,0.6615,0.03543984,0.0,0.03543984,1.0,0.0
2,14.25,14,0.4015,0.02180816,0.0,0.02180816,1.0,0.0
2,14.25,15,0.2435,0.013225961999999999,0.0,0.013225961999999999,1.0,0.0
2,14.25,16,0.1258,0.012781344,0.0,0.012781344,1.0,0.0
2,14.25,17,0.0462,0.004587405,0.0,0.004587405,1.0,0.0
2,14.25,18,0.01696,0.0016565096,0.0,0.0016565096,1.0,0.0
2,14.25,19,0.006235,0.00060489866,0.0,0.00060489866,1.0,0.0
2,14.25,20,0.0022925,0.000219726,0.0,0.000219726,1.0,0.0
2,14.25,21,0.0008445,8.11392e-05,0.0,8.11392e-05,1.0,0.0
2,14.25,22,0.0003105,2.98172e-05,0.0,2.98172e-05,1.0,0.0
2,14.25,23,0.0001142,1.709848e-05,0.0,1.709848e-05,1.0,0.0
3,12.75,4,11.0,0.5245340000000001,0.0,0.5245340000000001,1.0,0.0
3,12.75,5,8.895,0.2746903,0.0,0.2746903,1.0,0.0
