pair,seed,mode,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
g14_to_g15,1,forward,14,0.4015,15,0.2435,16,g14_to_g15/seed_1/forward/inp,44b25863da623d55566e1c6e3130b82411896fb08e4bba606ebfcd71e890c607,0,0.4361,0.005055,0.0022044854999999997,d6efef0b84d69d2f1ed23204d60d58149c241bafa77a808aded7a5560d02404f,3bd5e55d89e678c41fbe4e4114c392372a981bcbcfa37e4f22092f7a6d5928ee
g14_to_g15,1,adjoint,15,0.2435,14,0.4015,17,g14_to_g15/seed_1/adjoint/inp,33127932645db46bb5b17f8339911c5ee52dac63497d811e253b71df855e7069,0,0.43546,0.0042794,0.001863507524,57a3f93d756fe5bfe35c5a1db16228689ca131f65e2fb1ec964dcdecd87167aa,da9793a50f9c4181844ae52e6990ee76dc2152d593fd6767e3d91b796bb2c809
g14_to_g15,3,forward,14,0.4015,15,0.2435,16,g14_to_g15/seed_3/forward/inp,c08e0fa4487d11b588686977723ecd961c0bc8d3fa061d7cfed8d4775da2fc52,0,0.43788,0.0051076,0.002236515888,973aa552de84a452df9870724398514b9d240a04b21ae253cd2d9d1557751576,de473daf07e77c1b74b28187043a7c7c008f6cda6320e1f4dc09484eb3dd9693
g14_to_g15,3,adjoint,15,0.2435,14,0.4015,17,g14_to_g15/seed_3/adjoint/inp,4727c12a62196f3b1c5d712fbcaac3420bbac716473131a3791fbb2fe65e8699,0,0.43893,0.0042868,0.001881605124,ad32efa39a49b2fd9241a9f8cf6aa03981fea1e1ceb5f1fa26002771c9d636d8,736c54dce9bd5f8afcbce00c404756e570b20e414ddc082d50fb8718e68f39a7
g14_to_g15,5,forward,14,0.4015,15,0.2435,16,g14_to_g15/seed_5/forward/inp,0377ce8fa1be31dde221e7caa45aab94fb2d4f0f4b96e3bc81ad0112b7d379a4,0,0.43742,0.0050645,0.0022153135900000002,7728586954da303437ec44b1b8f0f98abaf7b41f93429df45dbab892b425dcc9,4dc0a252f7889c509bfee7d6b596616b10ee6e2bfb0456b55e7298f1051a5301
g14_to_g15,5,adjoint,15,0.2435,14,0.4015,17,g14_to_g15/seed_5/adjoint/inp,d87ea643fba1dc162d92abc9f2f565027d5069e99ba6678a783a8a9f40e28353,0,0.43713,0.0042759,0.001869124167,37100a2737c17b7cf56f427f702b951a0ee638dd972c9e8d25453e413acad3ec,93a45dae3283312fef624c039f5e44a7dea354eabc88c9175ceb492a5b562782
g14_to_g15,7,forward,14,0.4015,15,0.2435,16,g14_to_g15/seed_7/forward/inp,36c254259b866d4f739a2d5775c917faf0cad6e4ff6f21ac8a69a7fb56d936db,0,0.43824,0.0050784,0.0022255580160000002,2f5416139d305b23cc01c5735aa9ad31494e0ab23b92a062774ef102206d9cc9,e03dcd8ae4d23a178276cc0c27a499066f6a9c9503207eb569a842d1acf4af87
g14_to_g15,7,adjoint,15,0.2435,14,0.4015,17,g14_to_g15/seed_7/adjoint/inp,089883d3f32d8984fec3c6c4c9710e4a6210fc960c8bbb0725a28290cf1549b2,0,0.43823,0.004281,0.00187606263,9dd6c1116c37c3d8da5e2e77bad989f7ac1b9b48a03acd0a26d26f00d0468212,b971a2f06a4b849fdf49ee371ac5ca436984783e62333efaf0b36ed61219ebf0
g14_to_g15,9,forward,14,0.4015,15,0.2435,16,g14_to_g15/seed_9/forward/inp,7a15dbcc84e7c4f954fe1fa10da6821c520c89e16fafa64ef12f98c45dfe385c,0,0.43674,0.0050738,0.002215931412,a5d79724f1552b6a3958866cb4fb091caefa6881040e2daf786ce17004b625a5,a0d42c226ea58fcaf82a120a3f293e6731ce5c0f30b3e11009eb111d8bf3e432
g14_to_g15,9,adjoint,15,0.2435,14,0.4015,17,g14_to_g15/seed_9/adjoint/inp,56fc2af51ff48270c9af4fe5fafa5e85e3e1ec1461149510d9ddab6539a084c0,0,0.43832,0.0042839,0.001877719048,e090c1945545b4e0bee11a9cf36b696796d862bac9e9fe9df88210d0cefe64a9,6494adc5bb5ec8fb33968ee79e86ecff67bdf66c7c1e60f5c4543298de9d562c
g20_to_g22,1,forward,20,0.0022925,22,0.0003105,9,g20_to_g22/seed_1/forward/inp,04559569814d99d6b37a67cc7ca4d6664a5bf228ebb25e01376694a72888f9e6,0,0.4584,0.0039274,0.00180032016,dab339ecc2653ebec514d35afd58baa35f2fd1d482a8c4f691468ffd98ce0c61,d0fc723f511bf2ddf68d7287e9aac05b50da439f37e481640055c87cef512122
g20_to_g22,1,adjoint,22,0.0003105,20,0.0022925,11,g20_to_g22/seed_1/adjoint/inp,fbfbac86508c357e1af5710217094d27053bcad8005f40dce01b885f4d7a58f1,0,0.45858,0.0038054,0.001745080332,28d6c31ab0f08fb5efb9cdd7163d36c4f524c29f52377d486b8ed795f0792894,11b6fa3bdb98cdbc71b2679f1d92f25f48300df7faa294f413bad1fb4f1981bd
g20_to_g22,3,forward,20,0.0022925,22,0.0003105,9,g20_to_g22/seed_3/forward/inp,b258c0f5c9cbdb03e5a704f9821e891570688224ca3145105ae9ced9bb7c4b2f,0,0.45948,0.0039211,0.0018016670280000002,8d658b1b5f97f9cd7688e1529e8f6614a59f48e77e0a1020fcea5b462217ccb2,ed3c8c6789fba5fe532541616f5d52d8022c39a305760ba83351ced8719b18bc
g20_to_g22,3,adjoint,22,0.0003105,20,0.0022925,11,g20_to_g22/seed_3/adjoint/inp,8ae018c2ba56897f53974c5ce839babc2d39dad83ff1b32c6e0967b4747685e6,0,0.45699,0.003798,0.0017356480200000001,921ae03cc373dc7bce3049ff68a45474d613759511761081cd0280eff380b05e,29cad2b52b1d4f6872b73562c9a35df2d6b0063bbc18e982cfa5458b86b65cb6
g20_to_g22,5,forward,20,0.0022925,22,0.0003105,9,g20_to_g22/seed_5/forward/inp,1ac9a01bb9d730acba8992ba220c5d149d95d221968fe233c1757214e7f78a6c,0,0.46257,0.0039062,0.001806890934,85515b5e75170b835072bc774589b55aa5b62c816aef706084a6bf08f68e2e11,3a3d98571db247ab7e863d5da61428cc9e93f5ee75771e9a51e27c12804c673e
g20_to_g22,5,adjoint,22,0.0003105,20,0.0022925,11,g20_to_g22/seed_5/adjoint/inp,7f035f3e6b451ef6ec091ea0876627fd180579e0053187195243762e7efc5ca8,0,0.46309,0.0037948,0.001757333932,7715606dc8079869722766f06b519e69bf64ed9d88ca2e1e234f6d02c1efdfc5,7502727ceb046f7a7a73bf7bbf1241ae41f2a9d107c93e025dd5e84bb8160917
g20_to_g22,7,forward,20,0.0022925,22,0.0003105,9,g20_to_g22/seed_7/forward/inp,232e95f2eb79cb583c8b1adf7142169ea566d26cdfdebdb53ab995faedd21902,0,0.4608,0.0039072,0.0018004377600000002,9cb5b4c4d9740028f391b8fda023ef2c75cbca663b27011bf875e9940fa9c451,5d2861f2f79ecd736a54cbf19340b8629a3c904da8bc0bfc6a5cfe8e43b1e383
g20_to_g22,7,adjoint,22,0.0003105,20,0.0022925,11,g20_to_g22/seed_7/adjoint/inp,dfe111e402bec8c1ee72523148970659f7c19cd3940258e6b47b9e822699e299,0,0.46042,0.0037913,0.001745590346,45ea3b396ec171401d9fd5278e4b31770a3931640df46469b3dbf4daae43723d,8fa24e9b7e37f02c8c636b6cb3b0b66e5c70bf316bebf06286336fbeb46541fa
g20_to_g22,9,forward,20,0.0022925,22,0.0003105,9,g20_to_g22/seed_9/forward/inp,0ef96fe460654b4c62146273c3361b7ea5cb2fd2f3884caad3ea95792cb5dbdf,0,0.45607,0.0039203,0.0017879312209999997,0bbfc4eb7eb2468f06a4fed8deb40481e59df453e3740da2da18c398ec1f84ab,3ff98c63e6f1c3bef66f59a9f26b36d93984bcec30020db4901926a274d924ab
g20_to_g22,9,adjoint,22,0.0003105,20,0.0022925,11,g20_to_g22/seed_9/adjoint/inp,7848be0ec2e67027144f1e89bca8a0b0f308a52c81f6120c493baba6cd5bfe5e,0,0.45779,0.0038044,0.0017416162759999998,308e69fa9d8e2eb5ea4a7bd6dc3e7e209af93d809ca96de48e80f8333fcd2ec0,23cd8e70697a3f2ba7b7024e82f7a3d73af5ffb99c039ec678f2e472e4172de7
