density_case,pair,seed,R_F,sigma_F,RE_F,R_A,sigma_A,RE_A,delta,sigma_delta,z,pass_abs_z_le_3
high_inner_low_outer,g14_to_g15,1,0.093219,0.0008140162736999999,0.0087323,0.093009,0.0007292928699,0.0078411,0.00021000000000000185,0.001092927529132381,0.1921444875367995,True
high_inner_low_outer,g14_to_g15,3,0.093115,0.0008133688365000001,0.0087351,0.09317,0.000727499311,0.0078083,-5.4999999999999494e-05,0.0010912488770646403,-0.05040096824470002,True
high_inner_low_outer,g14_to_g15,5,0.093726,0.0008165971476,0.0087126,0.093686,0.0007296734110000001,0.0077885,3.999999999999837e-05,0.0010951046471405512,0.0365261896243826,True
high_inner_low_outer,g14_to_g15,7,0.092842,0.0008123489316,0.0087498,0.092776,0.0007266030768,0.0078318,6.599999999999662e-05,0.001089891195435071,0.06055650350827014,True
high_inner_low_outer,g14_to_g15,9,0.095257,0.0008223917837999998,0.0086334,0.093537,0.0007288215965999999,0.0077918,0.0017199999999999993,0.0010988672193364942,1.565248257235802,True
high_inner_low_outer,g20_to_g22,1,0.085134,0.0007760304635999999,0.0091154,0.0857,0.00061452899,0.0071707,-0.0005659999999999971,0.0009898834072685787,-0.5717845110282043,True
high_inner_low_outer,g20_to_g22,3,0.084862,0.000772032045,0.0090975,0.085471,0.0006118356064,0.0071584,-0.0006089999999999984,0.0009850767928267002,-0.6182259133853505,True
high_inner_low_outer,g20_to_g22,5,0.085527,0.0007693666812,0.0089956,0.085498,0.0006117210904000001,0.0071548,2.9000000000001247e-05,0.0009829179938229168,0.02950398729319214,True
high_inner_low_outer,g20_to_g22,7,0.081939,0.0007435964249999999,0.009075,0.085803,0.000613920465,0.007155,-0.0038640000000000063,0.0009642789952179798,-4.00713903254372,False
high_inner_low_outer,g20_to_g22,9,0.086022,0.0007702323858000001,0.0089539,0.084722,0.0006072110462000001,0.0071671,0.0012999999999999956,0.0009807972179622345,1.3254523730205483,True
low_inner_high_outer,g14_to_g15,1,0.19179,0.0009504728819999999,0.0049558,0.18972,0.0015617181239999999,0.0082317,0.0020699999999999885,0.001828212842709367,1.1322532867301702,True
low_inner_high_outer,g14_to_g15,3,0.19181,0.000952202383,0.0049643,0.19116,0.0015696338760000002,0.0082111,0.0006500000000000117,0.0018358757808952279,0.3540544555160765,True
low_inner_high_outer,g14_to_g15,5,0.19143,0.0009573031439999999,0.0050008,0.19274,0.0015761120759999999,0.0081774,-0.0013100000000000056,0.0018440603530322196,-0.7103888968958909,True
low_inner_high_outer,g14_to_g15,7,0.19076,0.000949431596,0.0049771,0.19195,0.0015756791600000002,0.0082088,-0.0011899999999999966,0.001839615495352606,-0.6468743077052115,True
low_inner_high_outer,g14_to_g15,9,0.19184,0.0009554974880000001,0.0049807,0.19048,0.001557688296,0.0081777,0.00136,0.0018273938483725106,0.7442292755944349,True
low_inner_high_outer,g20_to_g22,1,0.18746,0.0007992732019999999,0.0042637,0.1875,0.00160066875,0.0085369,-4.000000000001225e-05,0.001789127747999537,-0.02235726322211319,True
low_inner_high_outer,g20_to_g22,3,0.18838,0.000800652676,0.0042502,0.18673,0.001597587188,0.0085556,0.0016499999999999848,0.001786988956554491,0.9233409047929229,True
low_inner_high_outer,g20_to_g22,5,0.18914,0.000804185452,0.0042518,0.18788,0.0015976751559999998,0.0085037,0.0012600000000000111,0.0017886531651798983,0.70444065094827,True
low_inner_high_outer,g20_to_g22,7,0.18775,0.0008015986249999999,0.0042695,0.18546,0.001584959706,0.0085461,0.0022899999999999865,0.0017761355875173203,1.289315982458831,True
low_inner_high_outer,g20_to_g22,9,0.18562,0.00079510327,0.0042835,0.18591,0.0015792496770000001,0.0084947,-0.0002899999999999847,0.0017681116345608094,-0.1640167930188522,True
