pair_index,mode,seed,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,source_number,average,relative_error,sigma,finite_positive,tally_sha256,stdout_sha256
1,forward,1,6,3.8e-07,1,5.68,7,pair_1/forward/inp,f68a1a52e80135a4209038357124334f824345f7cb14efdcc8b5c71aab4bb173,0,1000000,0.24166,0.0033904,0.000819324064,True,94609ae518168b84bef4f46cdebd616a831367845e209d28adb29246cc344be5,9f368c54302a99323647556a77a12838d6f8205bdabc35f48d8bc76b3239114f
1,adjoint,11,1,5.68,6,3.8e-07,2,pair_1/adjoint/inp,59c0ac9574144187241571d0c1282bbbb08998067106830ac88ed7c568f6dac8,0,1000000,0.24263,0.0063736,0.0015464265680000002,True,997c2fd6ce4489d628d3089c83ecb23ffcaf0bd7dae6e4c3df563e5fe14d3f24,5f7f2279211ec893f371abb797520356475c7a99c723e0815d2bd586d59225ac
2,forward,3,6,3.8e-07,1,5.68,7,pair_2/forward/inp,7975dee4652ba0e7354fb47ae60c74e4c180ae392e49577fd9bc703f5fefeea6,0,1000000,0.24286,0.0033789,0.000820599654,True,980e0763f0925541cd11a14867850add82898a59421f4421933db32c21d0ff88,c4d16b7631305f9632f43341cb29e49d7c3d2a38f48f2f2562fdb5061f4dc51d
2,adjoint,13,1,5.68,6,3.8e-07,2,pair_2/adjoint/inp,46a5a696f41d1d48174145654cce71c7f377349a59a87e8b8c264f371b8cdc31,0,1000000,0.24177,0.0064389,0.0015567328530000002,True,b80230b03130a04abb43d07a72f2bdefb074d9e8b8221dd6156b483c5c197c98,778af9cfe9de962279ce59089eca1508e7daaa83ece1c5a4ea7fdf91150e6e5b
3,forward,5,6,3.8e-07,1,5.68,7,pair_3/forward/inp,ceb04b581d722cbb645a945354ebed46db075eeac8241484adc688bae7077db0,0,1000000,0.24063,0.0033915,0.000816096645,True,86148362bae95a4627b672ba98e386be51052bb2da6cb78c7b900423893753ac,515a7e5f6e98ffee8267530dea79fd365b37298f35fc9e7baeddf7c53de91838
3,adjoint,15,1,5.68,6,3.8e-07,2,pair_3/adjoint/inp,8210629c4f3315da53659071d49c1c73743be00446f6943b6e969fcf8ab06356,0,1000000,0.24426,0.0065013,0.001588007538,True,3871640c530e68b188dacf891966f8c30c7c9c5b694f53e1df8c5a663ae51081,a69d01bd21ec41287c2e18b9f8f3434bd68d1782daeca84b53e9e6bd73c752c5
4,forward,7,6,3.8e-07,1,5.68,7,pair_4/forward/inp,3315d15e39606ed4d5d926356474fe0abb404326a0215235e97e1ab0161aa40d,0,1000000,0.24313,0.0033782,0.000821341766,True,f440ca96a927ed71577df0e7c885c39ee172264823ffd155853e73ea7057343d,bd1d2499ddce574e14fa2ea8362c3d327363cc9ffbf8de527cddaf39bc187b91
4,adjoint,17,1,5.68,6,3.8e-07,2,pair_4/adjoint/inp,40c88e9b8836b685c799e338293f83ecf788d97b2afc065cb3a801562992a3b1,0,1000000,0.24205,0.0066993,0.0016215655649999999,True,c0f3f7c7b3cc3ed0fe737885bf29087e9a0b7f64ba90352deb0dad8bd062d458,657a1c50873981ca9cd0826941d1d623663b1d4e3e1c960566204bd768a7ce65
5,forward,9,6,3.8e-07,1,5.68,7,pair_5/forward/inp,83fb52b3c563e105bbb0afcd85ca41e24e0c7986f48a291f88c060ce92c86da0,0,1000000,0.24173,0.0033873,0.000818812029,True,5415552cfc94501c65977ee0b17219c8897ad19662aa0b928355eacca058223d,8d12f90b2ea83500b3e252421c5d5328865e6ed86a388cb68ba3084ffe65e8c3
5,adjoint,19,1,5.68,6,3.8e-07,2,pair_5/adjoint/inp,cf9aa310528e448f86df3e2942e0aac66fb4ec20c89da4bcb6e5a65ed8cd7756,0,1000000,0.24207,0.0067299,0.0016291068929999999,True,3f321b4cf332b93d1fe60f64fbae13ad9eaa67102047be6ace9b0398b111e5e2,4acc12b20b1f20f3ee504b783f94b7a0b14ec93333615bafca7a053b443de7c8
