case,seed,R_F,sigma_F,R_A,sigma_A,z,pass_abs_z_le_3
biased,1,52.17846608260882,0.27152260242905,52.439,0.809867916,-0.30501325471139096,True
biased,3,52.21460361346356,0.2718801569865136,52.204,0.7928221480000001,0.012651298993544433,True
biased,5,52.41837317728168,0.27225052044054154,52.051,0.7912793020000001,0.4390186496270451,True
biased,7,52.0223079837744,0.271157543478097,52.468,0.8114176200000001,-0.5209566348287096,True
biased,9,52.37027916366641,0.27223223999842655,52.9,0.7931826,-0.6316732492316387,True
unbiased,1,52.17846608260882,0.27152260242905,52.02,0.508739994,0.27479813740660103,True
unbiased,3,52.21460361346356,0.2718801569865136,52.192,0.512708112,0.03894926724340823,True
unbiased,5,52.41837317728168,0.27225052044054154,51.828,0.5069193023999999,1.026018541362162,True
unbiased,7,52.0223079837744,0.271157543478097,52.148,0.5111703404,-0.2172205976758678,True
unbiased,9,52.37027916366641,0.27223223999842655,52.603,0.5136525141,-0.4003220341752683,True
