case,seed,mode,response,sigma,relative_error,tally_sha256
unbiased,1,forward,52.17846608260882,0.27152260242905,0.0052037291015641605,c16fcb2389d7b3a2ef49c018d4a47cb816def8d1eed09c8ea413fccea36c82bf
unbiased,1,adjoint,52.02,0.508739994,0.0097797,5ceb0a8837a57d4cba361e370696a5cb58015070c7c65a47ebe51c407f969cbb
unbiased,3,forward,52.21460361346356,0.2718801569865136,0.0052069754086270445,758a54a9f2c59a83db27bd500de29b0105ec728933400b93f00ae536c7e26028
unbiased,3,adjoint,52.192,0.512708112,0.0098235,06fad648c5fd9d8b0b4ba398eaa545a18741fcf8ba66c94cd10978f02555487b
unbiased,5,forward,52.41837317728168,0.27225052044054154,0.0051937995007929,6aec266bc69d8b0cd11bcca564f0350fc797444dd145e801410db92563e033e9
unbiased,5,adjoint,51.828,0.5069193023999999,0.009780799999999997,5937811fc0eed26812160eb6f1b6b79ec57869c9981d98e41dc66c53e510e092
unbiased,7,forward,52.0223079837744,0.271157543478097,0.005212332054984378,774f2ad52cf95dbbfc91d377dcc8ac95b99f6693a53aaf7f99ccde12735f81d4
unbiased,7,adjoint,52.148,0.5111703404,0.009802299999999998,8c4fa85afa655a8e23a0d13f41b2691bfb97d34675083ad46a35fc38dfbb3671
unbiased,9,forward,52.37027916366641,0.27223223999842655,0.005198220142146894,194fd9c75034f3b6c16e341534df439d55c1f03e76f7e633a96aaaddf0814b0e
unbiased,9,adjoint,52.603,0.5136525141,0.0097647,21d2cd49e1fa3e00c6834c4b10a2e8201daf3b5a079ecc777728947f3899605b
biased,1,forward,52.17846608260882,0.27152260242905,0.0052037291015641605,c16fcb2389d7b3a2ef49c018d4a47cb816def8d1eed09c8ea413fccea36c82bf
biased,1,adjoint,52.439,0.809867916,0.015444,0b54a58b34231bf95bdd4ad2fe47bb5f6d2725114e1e7e66d6c1a5394f21d62f
biased,3,forward,52.21460361346356,0.2718801569865136,0.0052069754086270445,758a54a9f2c59a83db27bd500de29b0105ec728933400b93f00ae536c7e26028
biased,3,adjoint,52.204,0.7928221480000001,0.015187,473140ba867553961af7b1cff1358caa420d259e090bc241d804ad255ad9d47b
biased,5,forward,52.41837317728168,0.27225052044054154,0.0051937995007929,6aec266bc69d8b0cd11bcca564f0350fc797444dd145e801410db92563e033e9
biased,5,adjoint,52.051,0.7912793020000001,0.015202,049fc7398fd2c7445107af005cd208183dbd30a92051f5dcbe4ebbf8fad7121d
biased,7,forward,52.0223079837744,0.271157543478097,0.005212332054984378,774f2ad52cf95dbbfc91d377dcc8ac95b99f6693a53aaf7f99ccde12735f81d4
biased,7,adjoint,52.468,0.8114176200000001,0.015465,f8a6021f519279e3a51c2a2cfd61da6e51a99682a456c020708cb3c463c805c6
biased,9,forward,52.37027916366641,0.27223223999842655,0.005198220142146894,194fd9c75034f3b6c16e341534df439d55c1f03e76f7e633a96aaaddf0814b0e
biased,9,adjoint,52.9,0.7931826,0.014994,49181836778b7b67dbc49972a5a62a19b224f025c39845ca445917dca099ed43
