case,seed,mode,source_samples,source_groups,source_weight_mean,source_moments,tally_values,tally_sigmas,exit_code,tally_sha256
unbiased,1,forward,200000,14,1.0,"[{""name"":""forward_source"",""sample_count"":200000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16064999999999999;0.063215999999999994,0.00100987803;0.00055794441599999996,0,c16fcb2389d7b3a2ef49c018d4a47cb816def8d1eed09c8ea413fccea36c82bf
unbiased,1,adjoint,200000,15;20,536.17,"[{""name"":""cell2_g15"",""sample_count"":69836,""sample_fraction"":0.34918,""observed_weighted_mean"":187.2198406,""expected_strength_H"":187.6578011744303,""standard_error"":0.5715361750309946,""z"":-0.7662867086349194},{""name"":""cell3_g20"",""sample_count"":130164,""sample_fraction"":0.65082,""observed_weighted_mean"":348.95015939999996,""expected_strength_H"":348.5073450382277,""standard_error"":0.5715361750309946,""z"":0.7747792372866861}]",52.020000000000003,0.50873999400000003,0,5ceb0a8837a57d4cba361e370696a5cb58015070c7c65a47ebe51c407f969cbb
unbiased,3,forward,200000,14,1.0,"[{""name"":""forward_source"",""sample_count"":200000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16202;0.062581999999999999,0.0010236909659999999;0.00055204833839999994,0,758a54a9f2c59a83db27bd500de29b0105ec728933400b93f00ae536c7e26028
unbiased,3,adjoint,200000,15;20,536.17,"[{""name"":""cell2_g15"",""sample_count"":70112,""sample_fraction"":0.35056,""observed_weighted_mean"":187.9597552,""expected_strength_H"":187.6578011744303,""standard_error"":0.5720569885069938,""z"":0.5278390643522536},{""name"":""cell3_g20"",""sample_count"":129888,""sample_fraction"":0.64944,""observed_weighted_mean"":348.21024479999994,""expected_strength_H"":348.5073450382277,""standard_error"":0.5720569885069938,""z"":-0.5193542674885508}]",52.192,0.51270811199999999,0,06fad648c5fd9d8b0b4ba398eaa545a18741fcf8ba66c94cd10978f02555487b
unbiased,5,forward,200000,14,1.0,"[{""name"":""forward_source"",""sample_count"":200000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16261;0.062849000000000002,0.0010243942170000001;0.00055317175840000001,0,6aec266bc69d8b0cd11bcca564f0350fc797444dd145e801410db92563e033e9
unbiased,5,adjoint,200000,15;20,536.17,"[{""name"":""cell2_g15"",""sample_count"":69984,""sample_fraction"":0.34992,""observed_weighted_mean"":187.61660639999997,""expected_strength_H"":187.6578011744303,""standard_error"":0.571816106060745,""z"":-0.07204199740737487},{""name"":""cell3_g20"",""sample_count"":130016,""sample_fraction"":0.65008,""observed_weighted_mean"":348.5533936,""expected_strength_H"":348.5073450382277,""standard_error"":0.571816106060745,""z"":0.08053036856468573}]",51.828000000000003,0.50691930239999994,0,5937811fc0eed26812160eb6f1b6b79ec57869c9981d98e41dc66c53e510e092
unbiased,7,forward,200000,14,1.0,"[{""name"":""forward_source"",""sample_count"":200000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16044;0.062881000000000006,0.00101406102;0.00055427086260000005,0,774f2ad52cf95dbbfc91d377dcc8ac95b99f6693a53aaf7f99ccde12735f81d4
unbiased,7,adjoint,200000,15;20,536.17,"[{""name"":""cell2_g15"",""sample_count"":69845,""sample_fraction"":0.349225,""observed_weighted_mean"":187.24396825,""expected_strength_H"":187.6578011744303,""standard_error"":0.5715532411057735,""z"":-0.724049650439669},{""name"":""cell3_g20"",""sample_count"":130155,""sample_fraction"":0.650775,""observed_weighted_mean"":348.92603175,""expected_strength_H"":348.5073450382277,""standard_error"":0.5715532411057735,""z"":0.7325419255120834}]",52.148000000000003,0.51117034039999998,0,8c4fa85afa655a8e23a0d13f41b2691bfb97d34675083ad46a35fc38dfbb3671
unbiased,9,forward,200000,14,1.0,"[{""name"":""forward_source"",""sample_count"":200000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16313;0.062431,0.0010263487079999998;0.00055204611750000001,0,194fd9c75034f3b6c16e341534df439d55c1f03e76f7e633a96aaaddf0814b0e
unbiased,9,adjoint,200000,15;20,536.17,"[{""name"":""cell2_g15"",""sample_count"":70296,""sample_fraction"":0.35148,""observed_weighted_mean"":188.4530316,""expected_strength_H"":187.6578011744303,""standard_error"":0.5724012774136855,""z"":1.389288348836064},{""name"":""cell3_g20"",""sample_count"":129704,""sample_fraction"":0.64852,""observed_weighted_mean"":347.7169684,""expected_strength_H"":348.5073450382277,""standard_error"":0.5724012774136855,""z"":-1.3808086554225003}]",52.603000000000002,0.51365251410000001,0,21d2cd49e1fa3e00c6834c4b10a2e8201daf3b5a079ecc777728947f3899605b
biased,1,forward,200000,14,1.0,"[{""name"":""forward_source"",""sample_count"":200000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16064999999999999;0.063215999999999994,0.00100987803;0.00055794441599999996,0,c16fcb2389d7b3a2ef49c018d4a47cb816def8d1eed09c8ea413fccea36c82bf
biased,1,adjoint,200000,15;20,534.67763,"[{""name"":""cell2_g15"",""sample_count"":19800,""sample_fraction"":0.099,""observed_weighted_mean"":185.7834,""expected_strength_H"":187.6578011744303,""standard_error"":1.2532502291254066,""z"":-1.4956320221368398},{""name"":""cell3_g20"",""sample_count"":180200,""sample_fraction"":0.901,""observed_weighted_mean"":348.89423,""expected_strength_H"":348.5073450382277,""standard_error"":0.2586039039881867,""z"":1.4960522861633563}]",52.439,0.80986791599999997,0,0b54a58b34231bf95bdd4ad2fe47bb5f6d2725114e1e7e66d6c1a5394f21d62f
biased,3,forward,200000,14,1.0,"[{""name"":""forward_source"",""sample_count"":200000,""sample_fraction"":1.0,""observed_weighted_mean"":1.0,""expected_strength_H"":1.0,""standard_error"":0.0,""z"":0.0}]",0.16202;0.062581999999999999,0.0010236909659999999;0.00055204833839999994,0,758a54a9f2c59a83db27bd500de29b0105ec728933400b93f00ae536c7e26028
biased,3,adjoint,200000,15;20,535.5414646,"[{""name"":""cell2_g15"",""sample_count"":19916,""sample_fraction"":0.09958,""observed_weighted_mean"":186.871828,""expected_strength_H"":187.6578011744303,""standard_error"":1.2565113830475116,""z"":-0.6255201385633422},{""name"":""cell3_g20"",""sample_count"":180084,""sample_fraction"":0.90042,""observed_weighted_mean"":348.66963660000005,""expected_strength_H"":348.5073450382277,""standard_error"":0.25927683196072043,""z"":0.6259393118353741}]",52.204000000000001,0.79282214800000006,0,473140ba867553961af7b1cff1358caa420d259e090bc241d804ad255ad9d47b
