seed,mode,exit_code,source_counts,stderr_bytes,finish_count,response,relative_error,structural_pass,stdout_sha256,stderr_sha256,output_sha256,tally_sha256
17,forward,0,[50000],0,1,1.8521,0.012824,True,378f835630806364df052af88df42d537d605129b1c651fe61757bc63cd772fe,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3b6e05ad04143eedda2e7cbf15f9824a6a7467ec654bf5b8c77de0c4456603c1,61c381a9ab6ab8d7a714a1ac8f3f69ced5ba655f6eb44eab348ed7fc3677fc6d
17,adjoint,0,[50000],0,1,1.8765,0.0097142,True,ebbe22c5d991db9893e23d44713b834e89b7669183a3f7387a66201a3e72e3c3,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0f261b0ee0cd3d95e044d79438e604adcac4a60577625a08b1b94819af145a15,d00b93e8547cfcc5e90bf7ca3b2fbb56c05dffbc9277bb7c64ece6cd912c1d49
23,forward,0,[50000],0,1,1.8495,0.012929,True,e8e967d12d2bb52c3eba960db14f14aa9f1022dc9f4caff285fc99964e86086d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,68afed8fe408601db2e7ae5eabf706a5b7fae3af9eaa85fa2cf59774e5a8c257,6c545b07101f182d6369b8556b50c3384696e29940843a4d449ca95091a33c4c
23,adjoint,0,[50000],0,1,1.8573,0.0096985,True,8d35310706b5cdfe91fd26781ab0859e6072a3c9bfe3e9850d9e1493fd293e44,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,69d420a6b778bee6bc78d77ea31f4d3716217cb2e9fa5465cb52f3bd031c4ad1,3633647eb6490c9df6b725df6c5e0c74884738afa60bf30d314ac4f490a2dce7
41,forward,0,[50000],0,1,1.8558,0.012904,True,e355fafbbc7f30353f880a3ba1b44e35c09bc95998acab6b4a3ec0cf1545bad0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,89159098655e361cd9a761111ee92f5116ff3d82af15214a13e3012660a632f3,b2dcd75889014928b6dd9b00ac7c11db7fbd832105b28ea1df10285f93ede4cd
41,adjoint,0,[50000],0,1,1.9029,0.0097328,True,c8219babe0e444f9843894b8e3acda450314e03fa6887b69f88e5c8d34b4c1a2,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,38fec4d10894b17cf57bae1726f58939fe2bbb31fe638d0eb487bb58d69ad812,202929df2be826fa8f9971cef1d7ab08c299a8d65b9a4fad0bc3d9b2f89b209a
59,forward,0,[50000],0,1,1.8942,0.012825,True,763fc0e7e4ee1dad0f2c201e525c5048d55cc5161f17c511a4aa038ae367fa57,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,316bafad64b0850d500414c8e43b99fcfc044015b0c245e2d971f4be584a22f2,d07df7790d906e783b782621f1b69db3450bab898713661ae8590a6d4c1b5cd6
59,adjoint,0,[50000],0,1,1.8588,0.0097757,True,2c448c5ed3d189d75132fa94ddcc0cc8c16c9962743be30b78e35909b0dada31,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e0a1c3f1d3bf1c02fd33216efa0a6d1e5f47c637f7f0ad1906a0d6ad5e041053,68b0186ae57b28bfc1e0985fd2042fca4fbcf2a30a65f336d8ec8ed1caee32f9
83,forward,0,[50000],0,1,1.925,0.012853,True,3875db0bb974abba91d11d6523f3ecc3bf91fc13ec3642c2efc1bb648d0fde5f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3469a75a8e7781b0a12ab6d12245c60c8a26ed6480bc3748f6e1052d4297f314,5e8fb8c0ac4738f13ff19317cab44cbab7691d3e3d2616641fc5cf07c83ea4e5
83,adjoint,0,[50000],0,1,1.8719,0.0097613,True,63dd0c8dd93dddbc8e8e12efcf0a59c697d85fc8168ea9a2aea0833adc84b79c,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,437e197d3f4999b5e777eaf58eca9e1b4931a81690e7a7b70a487948af09a54e,75b40f6bea517bde0acf62a083ccf911f64d387abc03f98a8d37d4397d3ac5a3
