seed,mode,exit_code,source_counts,stderr_bytes,finish_count,response,relative_error,structural_pass,stdout_sha256,stderr_sha256,output_sha256,tally_sha256
17,forward,0,[50000],0,1,1.8521,0.012824,True,8a069377913be6c7b5b010ae6cf6e929fb223017c784060c9ab357a256f12ab9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,39c809ae4bd971b370beae1a920a0830407421417e482de0c75952a2a98afe1e,61c381a9ab6ab8d7a714a1ac8f3f69ced5ba655f6eb44eab348ed7fc3677fc6d
17,adjoint,0,[50000],0,1,1.8765,0.0097142,True,dfe8f62075f5230bfcb334430865ae52387962cd1a9062b7506ae57f2dce6b2b,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,9267a3795485f4ee4a790d61a5408bd3c59cab06f01458b8222508387b6cfdd5,d00b93e8547cfcc5e90bf7ca3b2fbb56c05dffbc9277bb7c64ece6cd912c1d49
23,forward,0,[50000],0,1,1.8495,0.012929,True,518c6c63a8e870831a98a9091d3e2bd93e22272b3470d58c40794594d1f152e7,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,10fa69213e4344d1b17c67945d8cdf61544a3c661b0818055c4e34b10490e7fc,6c545b07101f182d6369b8556b50c3384696e29940843a4d449ca95091a33c4c
23,adjoint,0,[50000],0,1,1.8573,0.0096985,True,136c13a845b2c6461e3977c2d73dd4f4761b9557765ca4cfc312e538c74a6d5d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,993c42e7358acac4c0a152e05cbe887e9d423811e653e86829559a419da21905,3633647eb6490c9df6b725df6c5e0c74884738afa60bf30d314ac4f490a2dce7
41,forward,0,[50000],0,1,1.8558,0.012904,True,b95430a5e528fb099ef9660ff8435af3e869fc0f749c31611ab4dfc7832a9d17,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d1129644026b0d6a20db50958a6f7e99fa84724939a56dc3f6b1093331a933a,b2dcd75889014928b6dd9b00ac7c11db7fbd832105b28ea1df10285f93ede4cd
41,adjoint,0,[50000],0,1,1.9029,0.0097328,True,451edb7a991be778a58dccb8b088b6d267099f339f1447458b087635ef46f502,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f295be5f72f5aecdd342d24680679387ffb79ab42957f96b3c900ef15f17f5c3,202929df2be826fa8f9971cef1d7ab08c299a8d65b9a4fad0bc3d9b2f89b209a
59,forward,0,[50000],0,1,1.8942,0.012825,True,d23694d77c998ae951ce07aa3eb3dbdd6c907340d2534465c26533be8e4c20e5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,6b4ac1adb1076b98deab9d405feb679fee9f64435bb222f4f78c26da29d9c174,d07df7790d906e783b782621f1b69db3450bab898713661ae8590a6d4c1b5cd6
59,adjoint,0,[50000],0,1,1.8588,0.0097757,True,1b40746c105d7a60538cabb1e7766d6677e3497fffbf748b9249cfd54ba1149f,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,362501006590adec2c2120758c5cb4e5790fab615852acc53d0fd4b67f57b85f,68b0186ae57b28bfc1e0985fd2042fca4fbcf2a30a65f336d8ec8ed1caee32f9
83,forward,0,[50000],0,1,1.925,0.012853,True,21ef26c67b415c8e168d0a1e7e5391f56b7e8beb09419abfa3131edbd9268dde,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f3307a932bc4171c7bced09f358cd6e85135bf1c0b6e4edbee16f221e8ce43f2,5e8fb8c0ac4738f13ff19317cab44cbab7691d3e3d2616641fc5cf07c83ea4e5
83,adjoint,0,[50000],0,1,1.8719,0.0097613,True,987fcb28623b854fd22440a884a38e5a8ce5ea6750605cb14de722802f79c253,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,d5f102cb33fcd482a1e6caa63eb2b0e215e6109f85f4602bbb67034347ca5158,75b40f6bea517bde0acf62a083ccf911f64d387abc03f98a8d37d4397d3ac5a3
