seed,mode,exit_code,source_counts,stderr_bytes,finish_count,response,relative_error,structural_pass,stdout_sha256,stderr_sha256,output_sha256,tally_sha256
17,forward,0,[50000],0,1,1.8521,0.012824,True,a2e295d89813d3690cdd6d3de82a20b701413fea909ca14ff731e7b60d0706c5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5731a1209d1415bad129fa2125bded901ee6d9e618ab212d817042ddb890310c,61c381a9ab6ab8d7a714a1ac8f3f69ced5ba655f6eb44eab348ed7fc3677fc6d
17,adjoint,0,[50000],0,1,1.8765,0.0097142,True,44d96ec2d448581e9ac466d64776863e0c457daab9109a9d4c5da7f0b21b6501,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,5e024c21097cb4b5d156dc53f10b9c32ba7fa82ea7d8d241eb426be66acc5ddc,d00b93e8547cfcc5e90bf7ca3b2fbb56c05dffbc9277bb7c64ece6cd912c1d49
23,forward,0,[50000],0,1,1.8495,0.012929,True,4a91a3d7045fb1b6b9d68ac7102b1a7308c59765e439aa24536b53b27b5d2c24,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,8a6e5bea67787794e7e9333b45747c57afa15f15b8f99e45015a5f0c05055b11,6c545b07101f182d6369b8556b50c3384696e29940843a4d449ca95091a33c4c
23,adjoint,0,[50000],0,1,1.8573,0.0096985,True,54b2ba081d71aa26395f81d1f9b65b39116bc0aa63d4203403a4e5c940176deb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,785a2c0d018d7718bcfa4bd490e07d368dc0c12cf74f0330d6f74cce57f8396c,3633647eb6490c9df6b725df6c5e0c74884738afa60bf30d314ac4f490a2dce7
41,forward,0,[50000],0,1,1.8558,0.012904,True,c83010f2afa4e8107adb3a3d9f9d1ad3ded1001dc463c82f72e93453139d0ef0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0515a1fe1210406be0b402923c54e65e8ddbe33fa6ea666f1ebd6fec0eb04170,b2dcd75889014928b6dd9b00ac7c11db7fbd832105b28ea1df10285f93ede4cd
41,adjoint,0,[50000],0,1,1.9029,0.0097328,True,b2607755a30e3136c08ae0e73df67d4b7c437df3eda624a438523f86ad3dace9,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,1761a2408f1626c49aa45c8328a0ad5e2bbc9e0c87c4b361675c1209c26202c4,202929df2be826fa8f9971cef1d7ab08c299a8d65b9a4fad0bc3d9b2f89b209a
59,forward,0,[50000],0,1,1.8942,0.012825,True,fc2efae4c5cce269fed06d79d0252c8868db0b26e0ecf85cec90cf9ed7eaaf56,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e8263f37edfed5da2bd5e1f9aee2a6ff8c5cb7ae5e8d0a98fa23d43797b1d780,d07df7790d906e783b782621f1b69db3450bab898713661ae8590a6d4c1b5cd6
59,adjoint,0,[50000],0,1,1.8588,0.0097757,True,da1bc3721ce4750625c477f1b104d5aca094dafc0de117f7252d955fffe068ba,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f9c52cbc853535f9e8b074eae1135ed203ff92a3151c1841f80f212944302c9b,68b0186ae57b28bfc1e0985fd2042fca4fbcf2a30a65f336d8ec8ed1caee32f9
83,forward,0,[50000],0,1,1.925,0.012853,True,4bae0d546f48b469a07abfcb598e22753e45234df4297f4d48435520d3c5adcb,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,3d8fa46c4697bc8d04290996c08631611cb9e98db0bda58bcdd37e67090ce1fe,5e8fb8c0ac4738f13ff19317cab44cbab7691d3e3d2616641fc5cf07c83ea4e5
83,adjoint,0,[50000],0,1,1.8719,0.0097613,True,ad35e2485911786717b19bffd9779ff6944f0540e185424781e07a6f8805410d,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,f6510d72a459c3eeca857b9cbbb0366c91a48412ad7582b2271e35cd13262ae6,75b40f6bea517bde0acf62a083ccf911f64d387abc03f98a8d37d4397d3ac5a3
