
================================ Tally Table Start ================================ 
============================= 2 cell tally in total ==============================

--------- ID = 1, Particle = neutron, Type = flux, Estimator = track length, Number of cell/surface/point bins  = 10 --------------
Cell                                 Ave            RE
1                                6.9523E+00      5.4967E-02
2                                7.8855E+00      8.1619E-02
3                                6.4704E+00      1.0808E-01
4                                5.3582E+00      1.0775E-01
5                                4.4862E+00      1.1787E-01
6                                3.5294E+00      1.3510E-01
7                                1.8891E+00      1.6673E-01
8                                1.0306E+00      2.0646E-01
9                                6.4356E-01      2.5718E-01
10                               2.3312E-01      2.5404E-01

--------- ID = 2, Particle = photon, Type = flux, Estimator = track length, Number of cell/surface/point bins  = 10 --------------
Cell                                 Ave            RE
1                                6.2255E+00      5.5886E-02
2                                5.2836E+00      5.8107E-02
3                                4.6894E+00      7.2243E-02
4                                4.0943E+00      7.3204E-02
5                                3.3413E+00      7.4493E-02
6                                2.6008E+00      8.8991E-02
7                                2.2237E+00      9.7099E-02
8                                1.7704E+00      1.0098E-01
9                                1.4588E+00      1.0594E-01
10                               1.0792E+00      1.1524E-01
