
================================ Tally Table Start ================================ 
============================= 2 cell tally in total ==============================

--------- ID = 1, Particle = neutron, Type = flux, Estimator = track length, Number of cell/surface/point bins  = 10 --------------
Cell                                 Ave            RE
1                                6.9523E+00      5.4967E-02
2                                7.8855E+00      8.1619E-02
3                                6.4704E+00      1.0808E-01
4                                5.3582E+00      1.0775E-01
5                                4.4862E+00      1.1787E-01
6                                3.5294E+00      1.3510E-01
7                                1.8891E+00      1.6673E-01
8                                1.0306E+00      2.0646E-01
9                                6.4356E-01      2.5718E-01
10                               2.3312E-01      2.5404E-01

--------- ID = 2, Particle = photon, Type = flux, Estimator = track length, Number of cell/surface/point bins  = 10 --------------
Cell                                 Ave            RE
1                                6.1630E+00      5.6022E-02
2                                5.2211E+00      5.8445E-02
3                                4.5751E+00      7.2064E-02
4                                3.9832E+00      7.3144E-02
5                                3.2350E+00      7.2637E-02
6                                2.6312E+00      8.8894E-02
7                                2.2665E+00      9.6502E-02
8                                1.7872E+00      1.0060E-01
9                                1.4469E+00      1.0527E-01
10                               1.0362E+00      1.0809E-01
