density_case,inner_density_ratio,outer_density_ratio,pair,seed,mode,source_cell,response_cell,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
low_inner_high_outer,0.5,2.0,g14_to_g15,1,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_1/forward/inp,791e53643d6543b9a241dcfd14bf48348cf9125259741611af58f86bfef8d6c9,0,0.19179,0.0049558,0.0009504728819999999,5d87c4f5f16c9d582857f1582ab108c50f159bd4c82525039726bb4c559224f4,3807428fa0b1230b30a2ae2770b724b1b93af9f53ee965ce39df0d60782bff82
low_inner_high_outer,0.5,2.0,g14_to_g15,1,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_1/adjoint/inp,3773313c00ad82a5c4ccfacabdc8f4c0ebebc71c1c598ee44a1dbcf07f2d2dd6,0,0.18972,0.0082317,0.0015617181239999999,5be4d6cb295c41eac31c7538f5e4f00dfe83c614bbb903b17f21b5c5d1fe47ff,1e0986b5cac8d39e7f9eb9d658e908087cdb501cf5414f5f1ebbf52f6ac9f376
low_inner_high_outer,0.5,2.0,g14_to_g15,3,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_3/forward/inp,14e4bc579a2b6761ae0bd68d6756dee81d5b6898c50540ce10cd75b4e3a232c6,0,0.19181,0.0049643,0.000952202383,ab161218ec418f97c60eb1dd5d3cc8487172663df6b9a4aed9b835e7ebbee2d7,513bf85ada8bb02d176cf2cd0ddeece34ec0ce6448019d0e5fd268f6c788fef9
low_inner_high_outer,0.5,2.0,g14_to_g15,3,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_3/adjoint/inp,26f4937391519ecf5e67fed3f1873e5861d21cb54265115e45cc39191de2c5c9,0,0.19116,0.0082111,0.0015696338760000002,520d0ddabab3cf3f2a74b70e064454c7d784f48d63ec91905541ff8711f46896,1922dbce4f53e632cef4953cf599b0d37d507244fa729a9d7aa4d200883bda52
low_inner_high_outer,0.5,2.0,g14_to_g15,5,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_5/forward/inp,3a06dea194a6aff9ec711f768c75ac2f25317f7e5abbf97238ee6f0b6e54d882,0,0.19143,0.0050008,0.0009573031439999999,5de8ff968d464f8241eeab25b19c293fb3a8d0bb8c09c7c795ced79ec6bbc60b,5c9aa3c19b69e86a93a147434a75370c240a17154b1042b77c56cc645e3dd6e2
low_inner_high_outer,0.5,2.0,g14_to_g15,5,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_5/adjoint/inp,8a8d506adf9610aea1f0024e7a3b20053a76cc254fa389c7df577ef0c64bc04d,0,0.19274,0.0081774,0.0015761120759999999,2d0edee22fb090d0e5a600d2a135a33940f7790987470af3512ea5c3934716de,34d58cd22aa839562fe5bbafa1f0f51c7fd099a7348479bf1c9746b772df2876
low_inner_high_outer,0.5,2.0,g14_to_g15,7,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_7/forward/inp,051366c93eb7f4e86469be599bce4be2ca4988c1434af3e4fce6b511cef8b703,0,0.19076,0.0049771,0.000949431596,b71e49795a878f3ae2c9a8ab73bbb03223cd2ce25bad3e6b42d16d066f13954a,340033a34516787059be8445ee5845b75e5ad775447f5a7a16bacd6eb9fbbd95
low_inner_high_outer,0.5,2.0,g14_to_g15,7,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_7/adjoint/inp,a87c7500a06ae109359d293766fd65728992569ea57b2dab4d1f234060292656,0,0.19195,0.0082088,0.0015756791600000002,fd14e3e79f2edea3c7428b33453358e6ba01e3ad4a736eabdb66a3665b2932f2,b02e08d7b8a0471723e313fb96d2e040d50fb8b3e7569d8a56a3174c3f12b5e8
low_inner_high_outer,0.5,2.0,g14_to_g15,9,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_9/forward/inp,f56c2d4fbbf336accfe359590767c6096fdde4d1907e2d348a6dbbefce80d2d7,0,0.19184,0.0049807,0.0009554974880000001,e32058c0dab0811cc316ce8c1b154de42aeb21f9d816d5eac80bccf8d7caf88b,1b844144286552b8c2086aca5183d9cc48dd09be38867988f2b3eb3835564770
low_inner_high_outer,0.5,2.0,g14_to_g15,9,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_9/adjoint/inp,175981ed277ce018440e19def89d18deab6bc69b86ba82c3f73023b24887a66b,0,0.19048,0.0081777,0.001557688296,a1d276e2b23ac1e60194e05de59e12d926d62e17802578f2e1a7f184894bf026,c6a0a07e5ab12d170b6921694e8c68a843353068e54440d5fc20209f8ee82916
