density_case,inner_density_ratio,outer_density_ratio,pair,seed,mode,source_cell,response_cell,source_ace_group,source_energy_MeV,response_ace_group,response_energy_MeV,response_tally_group,input,input_sha256,exit_code,average,relative_error,sigma,tally_sha256,stdout_sha256
low_inner_high_outer,0.5,2.0,g14_to_g15,1,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_1/forward/inp,ff66a0adabbdc682a1e5201b31a38df375c8a7fb955b1adee6ad667747b4f1a8,0,0.19084,0.0022277,0.00042513426800000004,f4d14d53e021aaa40e1d33cd38fd3ff68edef00c5e8fdba2c0342861caf95eb0,105a32f3bd768353321eef774264bb3e4bc5bee1090bbe2c3b3c9c2f61f3b87b
low_inner_high_outer,0.5,2.0,g14_to_g15,1,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_1/adjoint/inp,b24e0c90367034daf58fcfffebd3e46c21a91de9331cf936704cb18337f6a0a0,0,0.18988,0.0036813,0.000699005244,300270b98285bfeca4c4295a5cd4d7bde4261df735a53eb8a17a3babd1e9fda7,b6f808fb76115176bff439895be6f911f4a004e73b3404eb193a9cbac733eeae
low_inner_high_outer,0.5,2.0,g14_to_g15,3,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_3/forward/inp,6053d36d407130dac45aa29ede914c3c616816fa69789a12b67dc7f2e5937863,0,0.19172,0.0022212,0.000425848464,de6fd160dc78992551e566c95b7a7699a6cbca2df0044f09de39b670fc4e9f92,10b9593079d097943b5c96b3c2dc5c559ef3b2f20bd91a288ec3c51056012d13
low_inner_high_outer,0.5,2.0,g14_to_g15,3,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_3/adjoint/inp,5b8e24c508154b8fcb123ff5cb73ce4846dbbad677ac1f98714fe707300aeee3,0,0.19162,0.0036692,0.000703092104,2fd037d25e7f9407e8ca6fad9827de2992b81ab56badfaf8742e63f050c6440b,734ca1ca7b7e4fda71c9c48cb43ce7514007d0759ee252190b5155e8c0abe90f
low_inner_high_outer,0.5,2.0,g14_to_g15,5,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_5/forward/inp,0ec2a93af7d5ee09297409ea3c6701c5d73517cdccc7d57af561734f4f61d977,0,0.19105,0.0022257,0.00042521998500000003,abec955e26a2461999a66f6a10cf88f14dfc04a6501bd27882525757cf75db26,671fedf6010f7a1f60ae3ed430136933cf0cc0a6dc320f08614fc8855273f037
low_inner_high_outer,0.5,2.0,g14_to_g15,5,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_5/adjoint/inp,b0fa924760859d78c5a0acea2362e4e38da0ad1f2d5bfcd29368c6088f8a4c6d,0,0.19137,0.0036632,0.000701026584,29eb7a82fb5c64afb4494ee740dda52d3843e72c5a4c211d1da884bfbf72cdfd,b203dd1b089eba6be6d2ffee80c17a11d28dd07e40dcee42d55d9a5529881774
low_inner_high_outer,0.5,2.0,g14_to_g15,7,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_7/forward/inp,37b0126c9d74e6838a4a7a5be944c76d03717532c0e860d111836c1541075cb6,0,0.19171,0.0022209,0.000425768739,5956474a76b7f219f600e35df89994a3ca2b6a9ede36a3e392e86b51f026afbe,8aaa09a4f8f309b9cef9d7c7d528e279f8520151fae615b0937bcb76bfb9c233
low_inner_high_outer,0.5,2.0,g14_to_g15,7,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_7/adjoint/inp,6576432ef34d74ba7197aa738618614680df4acb4e922aa2e7c69c46033404ed,0,0.19202,0.0036652,0.000703791704,59de0c4fd0d8d6840a0a5d2de5bf2ed110eff6e03ea4a7520da781ef897a2a40,ed34ddcbd7f04f768ed5a406d9732d92902b56700a9f52087392597cbeab2859
low_inner_high_outer,0.5,2.0,g14_to_g15,9,forward,1,2,14,0.4015,15,0.2435,16,low_inner_high_outer/g14_to_g15/seed_9/forward/inp,9d0af781a5d34a07dc80b2e2bcfa2b5920337afeb22aa8478c8e60ffa78f6f4f,0,0.19134,0.0022234,0.000425425356,f905230804bfe664188e0ee1feb58067bb07b7b146fafbe6e99c783ffd1a4b93,ad189f2092ae8544429bb8ce9f4b9c05c3037eeed20149a4e145a748764c89f0
low_inner_high_outer,0.5,2.0,g14_to_g15,9,adjoint,2,1,15,0.2435,14,0.4015,17,low_inner_high_outer/g14_to_g15/seed_9/adjoint/inp,90af54796a196b1c30033bb28ef9b99996c61738498352a5f072864de5b7bf05,0,0.19105,0.0036703,0.000701210815,27e66cb4b1e0f3c6d7bea97e40679daf456a641a087cfd0c8cc213daa258a130,8d461bc4496bb1dd183f160a923d2b8cb803c57f00b49b7be2ae68b8cff74520
low_inner_high_outer,0.5,2.0,g20_to_g22,1,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_1/forward/inp,0fccfdbbc13432f9a5ef43599171c312c059585f8a09fc803c4b81576cc3af60,0,0.18704,0.0019036,0.00035604934400000003,9f09c99aef4bd0d7ad5c81f9904c233716823d2db10f00a974ee2ad1686828fa,e5b1750210806681af47bf77c9215a3b7d900b98f4918a0c13989fc16710d6f8
low_inner_high_outer,0.5,2.0,g20_to_g22,1,adjoint,2,1,22,0.0003105,20,0.0022925,11,low_inner_high_outer/g20_to_g22/seed_1/adjoint/inp,e136469d07f698971273e97f987055cb80e27cd7edbeb5df7d0fba6403667d93,0,0.18751,0.0038186,0.0007160256860000001,875d8caad9c1053fcfe8e21fc130522d14c8db4f0b669786b8d6ecdc6e06ff5e,14a6cbb460c801a33fa4a4132331d0e5b425eef27d837657257659991d0c032f
low_inner_high_outer,0.5,2.0,g20_to_g22,3,forward,1,2,20,0.0022925,22,0.0003105,9,low_inner_high_outer/g20_to_g22/seed_3/forward/inp,fb50069e28bead88ea32ff19d8c3a47d08355074371df036e618aedb66d2bd48,0,0.18715,0.001905,0.00035652075,c7ae65f2e6c64095055f1c63128634c94ff5ee81c337101f54b990c5c7bfe271,6623e047213f042d000279b1787977f54361b0de7fb04485fbda03324649a27b
