density_case,pair,seed,R_F,sigma_F,RE_F,R_A,sigma_A,RE_A,delta,sigma_delta,z,pass_abs_z_le_3
high_inner_low_outer,g14_to_g15,1,0.093359,0.0003643988488,0.0039032,0.093133,0.00032611451279999996,0.0035016,0.00022600000000000398,0.0004890165605227972,0.4621520378745296,True
high_inner_low_outer,g14_to_g15,3,0.093221,0.0003633381696,0.0038976,0.092927,0.00032565337879999996,0.0035044,0.0002940000000000026,0.00048791879305078487,0.6025592868881394,True
high_inner_low_outer,g14_to_g15,5,0.094316,0.00036624789119999997,0.0038832,0.093762,0.000327745071,0.0034955,0.0005539999999999989,0.0004914817894624805,1.1272035136965965,True
high_inner_low_outer,g14_to_g15,7,0.093144,0.00036422098320000005,0.0039103,0.093115,0.0003259863035,0.0035009,2.9000000000001247e-05,0.0004887985215533788,0.05932914835306909,True
high_inner_low_outer,g14_to_g15,9,0.093802,0.00036481473840000003,0.0038892,0.093692,0.000327078772,0.003491,0.00010999999999999899,0.0004899697097238649,0.22450367403730392,True
high_inner_low_outer,g20_to_g22,1,0.085004,0.00034431720239999993,0.0040506,0.085489,0.000273906756,0.003204,-0.0004849999999999993,0.0004399764162441051,-1.1023318116462735,True
high_inner_low_outer,g20_to_g22,3,0.085168,0.00034409575359999994,0.0040402,0.085513,0.0002744454222,0.0032094,-0.00034500000000001196,0.00044013881607066663,-0.78384361343086,True
high_inner_low_outer,g20_to_g22,5,0.08493,0.00034209804000000005,0.004028,0.085309,0.0002735433085,0.0032065,-0.00037899999999999046,0.00043801485202783687,-0.8652674635240545,True
high_inner_low_outer,g20_to_g22,7,0.084725,0.000341695925,0.004033,0.085156,0.00027251623119999995,0.0032002,-0.0004310000000000008,0.0004370597229544922,-0.9861352519204285,True
high_inner_low_outer,g20_to_g22,9,0.085919,0.0003455318504,0.0040216,0.085078,0.0002727855914,0.0032063,0.0008409999999999945,0.00044023202804463886,1.9103562358591466,True
low_inner_high_outer,g14_to_g15,1,0.19084,0.00042513426800000004,0.0022277,0.18988,0.000699005244,0.0036813,0.0009600000000000164,0.0008181365882096922,1.1733982000496523,True
low_inner_high_outer,g14_to_g15,3,0.19172,0.000425848464,0.0022212,0.19162,0.000703092104,0.0036692,9.999999999998899e-05,0.0008220008643537464,0.12165437329388767,True
low_inner_high_outer,g14_to_g15,5,0.19105,0.00042521998500000003,0.0022257,0.19137,0.000701026584,0.0036632,-0.0003200000000000147,0.0008199087187718577,-0.39028734866893855,True
low_inner_high_outer,g14_to_g15,7,0.19171,0.000425768739,0.0022209,0.19202,0.000703791704,0.0036652,-0.0003100000000000047,0.0008225580719492538,-0.3768730872282165,True
low_inner_high_outer,g14_to_g15,9,0.19134,0.000425425356,0.0022234,0.19105,0.000701210815,0.0036703,0.00029000000000001247,0.000820172750462176,0.3535840465762785,True
low_inner_high_outer,g20_to_g22,1,0.18704,0.00035604934400000003,0.0019036,0.18751,0.0007160256860000001,0.0038186,-0.0004699999999999982,0.0007996648787927359,-0.5877462077733902,True
low_inner_high_outer,g20_to_g22,3,0.18715,0.00035652075,0.001905,0.18823,0.0007189256620000001,0.0038194,-0.0010799999999999976,0.0008024719014786131,-1.3458415154599415,True
low_inner_high_outer,g20_to_g22,5,0.18766,0.000357060682,0.0019027,0.18665,0.0007132456450000001,0.0038213,0.0010099999999999831,0.0007976287863046137,1.2662531961506527,True
low_inner_high_outer,g20_to_g22,7,0.18734,0.000357013838,0.0019057,0.18733,0.000713240242,0.0038074,1.0000000000010001e-05,0.0007976029860348498,0.012537565900703724,True
low_inner_high_outer,g20_to_g22,9,0.18623,0.000355457201,0.0019087,0.18637,0.000711691119,0.0038187,-0.00014000000000000123,0.0007955212571680449,-0.17598524079467534,True
