method_a,method_b,z_score,verdict
A1_ONE_SHOT_r0,A2_CURRENT_ONLY_r0,nan,INSUFFICIENT
A1_ONE_SHOT_r0,J0_ANALOG_r0,-1.078741736943742,PASS
A1_ONE_SHOT_r0,J1_EXP_WW_r0,nan,INSUFFICIENT
A1_ONE_SHOT_r0,J5_PRIOR_PINN_r0,nan,INSUFFICIENT
A2_CURRENT_ONLY_r0,J0_ANALOG_r0,-1.078741736943742,PASS
A2_CURRENT_ONLY_r0,J1_EXP_WW_r0,nan,INSUFFICIENT
A2_CURRENT_ONLY_r0,J5_PRIOR_PINN_r0,nan,INSUFFICIENT
J0_ANALOG_r0,J1_EXP_WW_r0,1.078741736943742,PASS
J0_ANALOG_r0,J5_PRIOR_PINN_r0,1.078741736943742,PASS
J1_EXP_WW_r0,J5_PRIOR_PINN_r0,nan,INSUFFICIENT
